Business Name,Address,City,State,Zip Code,Full Address,Latitude,Longitude,Registered* Indoor (square feet),Registered* Outdoor (acres),Planted* Indoor (sqft),Planted* Outdoor (acres)
Flower City Solutions,620 Park Ave Suite 106,Rochester,NY,13408,620 Park Ave Suite 106 Rochester NY 13408 ,43.1487967,-77.5788117,,0.00,,
East End Flower Farm Ltd.,74 River Road,Shirley,NY,13408,74 River Road Shirley NY 13408 ,40.8062773,-72.8823319,260.00,28.00,,1.00
Three Cord Ranch,1537 Sturgeon Point Road,Derby,NY,13408,1537 Sturgeon Point Road Derby NY 13408 ,42.6780961,-78.9767452,"226,260.00",7.00,"6,800.00",1.50
SUNY Morrisville Affiliated Grower - Laura Ten Eyck,287 Altamont Road,Altamont,NY,13408,287 Altamont Road Altamont NY 13408 ,42.6590725,-73.9710881,,0.00,,
Sparkle Holdings LLC,"17 Prince Street, Second Floor",Rochester,NY,13408,"17 Prince Street, Second Floor Rochester NY 13408 ",43.1569335,-77.5915465,"152,000.00",13.00,,
SUNY Morrisville Affiliated Grower - Robert & Jeff Milavec Farm,185 Tuscan Road,Worcester,NY,13408,185 Tuscan Road Worcester NY 13408 ,42.5843360,-74.7773490,,13.00,,
Hempability,150 Pitcher Lane,Red Hook,NY,13408,150 Pitcher Lane Red Hook NY 13408 ,42.0262939,-73.8615345,"9,000.00",11.00,,
SUNY Morrisville Affiliated Grower - George Neider,8575 Penoyer Road,Fabius,NY,13408,8575 Penoyer Road Fabius NY 13408 ,42.8536340,-75.9372730,,0.00,,
GoPap Synthesis Affiliated Grower - Black Pheasant Farm,3506 Route 22,Dover Plains,NY,13408,3506 Route 22 Dover Plains NY 13408 ,41.7646910,-73.5739250,,0.00,,
New York Hemp Alliance Affiliated Grower - Joe Montana,1100 West Kill Road,North Blenheim,NY,13408,1100 West Kill Road North Blenheim NY 13408 ,42.4917960,-74.5291900,,0.00,,1.00
Beezy Beez Honey Inc.,3773 D Victory Boulevard,Staten Island,NY,13408,3773 D Victory Boulevard Staten Island NY 13408 ,40.5976742,-74.1817488,,0.00,,
Tongore Brook Farm LLC,84 Woodland Road,Stone Ridge,NY,13408,84 Woodland Road Stone Ridge NY 13408 ,41.8913210,-74.2196980,0.00,,,
Mayfair Farms LLC,11645 State Route 23,Ashland,NY,13408,11645 State Route 23 Ashland NY 13408 ,42.2992575,-74.3150530,,0.00,,
Sparkle Holdings LLC Affiliated Grower - Plant Connection Inc.,5873 Sound Ave,Riverhead,NY,13408,5873 Sound Ave Riverhead NY 13408 ,40.9796895,-72.5990631,,0.00,,
CSC Farms,6506 Peterboro Road,Oneida,NY,13408,6506 Peterboro Road Oneida NY 13408 ,43.0283260,-75.6293190,,0.00,,
NAHE LLC,1 Vapor Trail,Hudson,NY,13408,1 Vapor Trail Hudson NY 13408 ,42.2528649,-73.7909590,"18,000.00",106.00,"18,000.00",0.42
Hempstead Acres,129 Brown Road,Kirkwood,NY,13408,129 Brown Road Kirkwood NY 13408 ,42.0666370,-75.7475140,"12,675.00",17.00,,
Jay Stucky Affiliated Grower - Nickel A Day Farm,2539 Vinyard Road,Romulus,NY,13408,2539 Vinyard Road Romulus NY 13408 ,42.7386729,-76.8009196,,0.00,,
Morrisville State College Affiliated Grower - Frederick P. Davies,210 East Fayette Street,Syracuse,NY,13408,210 East Fayette Street Syracuse NY 13408 ,43.0484553,-76.1502662,,0.00,,
Hemp Division Inc.,6075 Route 22,Millerton,NY,13408,6075 Route 22 Millerton NY 13408 ,41.9663441,-73.5248561,,12.00,,11.99
Organized Alliance LLC,8999 Route 353,Gowanda,NY,13408,8999 Route 353 Gowanda NY 13408 ,42.4339059,-78.9440775,,0.00,,
Pioneer Plant-tech Inc.,10703 Miller Road,Utica,NY,13408,10703 Miller Road Utica NY 13408 ,43.1722694,-75.1788988,"3,000.00",,,
Bield Farm,90 Germond Road,Clinton Corners,NY,13408,90 Germond Road Clinton Corners NY 13408 ,41.8382095,-73.7750218,,5.00,,
Forest Springs Farm LLC,7574 Watson Road,Ellicottville,NY,13408,7574 Watson Road Ellicottville NY 13408 ,42.2887050,-78.7354000,,19.00,,
Langdonhurst Farms LLC,1601 County Route 7A,Copake,NY,13408,1601 County Route 7A Copake NY 13408 ,42.1039822,-73.5569850,"25,000.00",70.00,,0.11
Enfield Glen Hopyard,260 Hines Road,Newfield,NY,13408,260 Hines Road Newfield NY 13408 ,42.3994584,-76.6151527,"3,400.00",2.00,"1,200.00",7.32
Hilltop Hemp Farms,74 Ferris Lane,Poughkeepsie,NY,13408,74 Ferris Lane Poughkeepsie NY 13408 ,41.6831665,-73.9191042,"13,600.00",22.00,400.00,0.50
